"project_id","owner_id","repo_name","language","created_at","watcher_count"
9639077,373298,"wayfair/wiff","Java","2014-05-05 20:21:05 UTC",17
1637741,46839,"shvets/shadow_db_credentials","Ruby","2012-06-08 19:24:49 UTC",16
9688896,3953990,"rsense/rsense","Ruby","2014-05-14 22:06:46 UTC",231
22078763,664409,"holyeye/jpabook","Java","2015-07-06 16:07:43 UTC",49
21088648,2297140,"hanhailong/SwipeBackSample","Java","2015-06-09 14:07:41 UTC",153
1807590,7458,"ConradIrwin/lspace","Ruby","2012-11-22 10:48:35 UTC",46
5744703,229028,"johnzweng/XposedSendRawSMS","Java","2013-09-23 09:53:43 UTC",11
19398593,352675,"foo4u/keycloak-spring-demo","Java","2015-04-28 19:02:04 UTC",17
22195384,6263981,"emory-courses/cs571","Java","2015-07-11 05:20:39 UTC",16
21182774,7721759,"TakeoffAndroid/MultiSelectRecyclerGalleryGridView","Java","2015-06-12 02:35:07 UTC",48
2417312,8333,"lml/sketchily","Ruby","2013-01-28 19:54:37 UTC",20
22426147,521773,"ahmetabdi/igdb","Ruby","2015-07-29 09:55:01 UTC",14
31322572,7564886,"a2888409/face2face","Java","2016-01-25 02:27:50 UTC",52
488121,290495,"Waterflames/Websend","Java","2012-08-23 01:37:27 UTC",16
796470,251221,"haoqili/Android-File-Transfer","Java","2012-01-17 19:13:21 UTC",20
382016,2244,"tomykaira/rspec-parameterized","Ruby","2012-05-20 02:37:42 UTC",106
5009015,622847,"govdelivery/infoblox","Ruby","2013-08-14 21:42:57 UTC",26
4570909,1271767,"dmac100/clipper","Java","2013-07-14 23:01:42 UTC",12
7121469,2845058,"samuelcampos/usbdrivedetector","Java","2013-12-26 22:53:49 UTC",19
29105054,1007812,"GoogleCloudPlatform/processing-logs-using-dataflow","Java","2015-11-13 17:19:32 UTC",16
155210,157130,"f0y/due_date_reminder","Ruby","2012-03-28 13:06:03 UTC",31
1377586,124572,"klout/brickhouse","Java","2012-10-29 21:12:48 UTC",286
37803138,8494,"skyfe79/FragmentNavigationController","Java","2016-05-25 02:03:12 UTC",33
6597338,64408,"fcelda/gitlab2jenkins","Ruby","2013-11-24 23:33:30 UTC",21
5763206,338564,"joekiller/jruby-kafka","Ruby","2013-09-26 03:01:27 UTC",61
319007,140609,"thomasvandoren/puppet-etckeeper","Ruby","2012-05-30 00:50:37 UTC",12
396764,535928,"sebnil/Sketchy-Truck","Java","2012-05-31 19:28:44 UTC",14
731308,714222,"Pi4J/pi4j","Java","2012-09-08 06:00:38 UTC",509
26056022,3855330,"madebybowtie/FlagKit","Ruby","2015-08-19 18:35:42 UTC",1248
3499224,162837,"ivanzotov/constructor","Ruby","2013-04-23 11:19:06 UTC",10
28390658,690785,"greysonp/permiso","Java","2015-11-05 08:03:12 UTC",98
143464,44722,"Cascading/cascading.kryo","Java","2011-12-02 02:01:50 UTC",14
4370079,4328,"maccman/humanapi","Ruby","2013-07-06 19:37:30 UTC",23
30930431,11108982,"OnionApps/Blog.onion","Java","2016-01-14 14:58:58 UTC",10
26132803,6378,"orta/danger","Ruby","2015-09-29 05:54:39 UTC",63
38038012,11091551,"CloudRail/cloudrail-si-java-sdk","Java","2016-06-01 15:24:43 UTC",147
135068,357364,"Permafrost/Tundra","Java","2012-06-22 03:11:37 UTC",21
4431863,131380,"shortstack/HackerTracker","Java","2013-07-04 04:28:46 UTC",28
236764,237739,"javasoze/kamikaze","Java","2010-02-27 08:48:57 UTC",39
3689088,1969267,"vgrec/SimpleRssReader","Java","2013-05-12 18:44:24 UTC",16
2240202,282382,"lessthanoptimal/ddogleg","Java","2012-11-20 17:23:48 UTC",14
42646768,849229,"Polidea/react-native-ble-plx","Java","2016-07-27 10:57:27 UTC",16
20677097,408026,"ryugoo/design-support-library-sample","Java","2015-05-30 18:56:58 UTC",12
10471878,273196,"claczny/VizBin","Java","2014-06-25 13:59:39 UTC",12
34377886,6714605,"chyrta/AndroidOnboarder","Java","2016-04-02 16:00:05 UTC",80
17770132,41156,"Clans/FloatingActionButton","Java","2015-03-21 12:36:16 UTC",2289
4172362,152597,"jclagache/spring-data-mybatis","Java","2013-06-18 07:58:10 UTC",51
2460239,224401,"nicolassmith/urlevaluator","Java","2013-01-31 18:11:41 UTC",13
20148692,6570061,"tianzhijiexian/CommonAdapter","Java","2015-05-18 02:55:00 UTC",620
18012961,54811,"DrewDahlman/vagrant-puppet-boilerplate","Ruby","2015-03-26 22:58:51 UTC",17
4863564,2386664,"fanzai0403/rtx_notify","Ruby","2013-08-07 10:19:45 UTC",11
621845,212938,"jasnell/js.strea.ms","Ruby","2012-08-29 23:49:39 UTC",27
6448090,53689,"lann/RFDuinoTest","Java","2013-11-10 07:41:35 UTC",35
32427305,5710405,"openvenues/jpostal","Java","2016-02-19 18:44:20 UTC",11
4403064,241546,"ben-manes/multiway-pool","Java","2013-07-01 08:45:29 UTC",21
3706073,17050,"ktoso/lambda-spec","Java","2013-05-13 19:03:35 UTC",28
26256925,127087,"Barteks2x/CubicChunks","Java","2015-09-27 13:40:45 UTC",24
5118576,2475511,"opencb/opencga","Java","2013-08-23 16:42:20 UTC",25
12761803,2967454,"lanyuancom/lanyuan-2.0","Java","2014-10-21 03:30:04 UTC",70
42277728,11334259,"forJrking/HeiPermission","Java","2016-07-28 10:37:57 UTC",128
8313233,3432966,"tommai78101/PokemonWalking","Java","2014-03-02 16:39:33 UTC",27
344337,132817,"SuelenGC/Calculadora-de-Tributos-PJ","Java","2012-03-24 18:14:52 UTC",16
6595724,297244,"mispy/kaomojify","Ruby","2013-11-24 21:13:13 UTC",16
6019182,2793582,"buildlackey/cep","Java","2013-10-22 22:06:50 UTC",88
336457,14771,"stefanobernardi/stripe-sinatra-example","Ruby","2011-07-12 06:25:14 UTC",12
11767722,68750,"xiaohanyu/oh-my-love","Ruby","2014-08-30 05:38:26 UTC",89
1474114,85828,"Casecommons/datafix","Ruby","2012-11-05 15:56:54 UTC",10
1116786,40229,"liangwenke/to_xls-rails","Ruby","2010-06-01 16:14:20 UTC",50
6290293,2884811,"stacksync/android","Java","2013-11-08 14:42:48 UTC",10
15618770,4123976,"dmaier-couchbase/cb-graph","Java","2015-01-27 16:33:06 UTC",10
8855922,1153541,"piterwilson/MP3StreamPlayer","Java","2014-03-15 17:39:37 UTC",24
2238759,30090,"beastaugh/urlify","Ruby","2009-06-27 20:52:39 UTC",10
18850364,420338,"Phrogz/NeatJSON","Ruby","2015-04-16 03:20:02 UTC",23
8715936,134483,"igorcosta/Android-Wear-Examples","Java","2014-03-20 19:44:53 UTC",10
29800,91450,"marlandy/websockets-tomcat","Java","2012-07-29 07:18:34 UTC",20
1572713,30453,"xaviershay/poniard","Ruby","2012-11-25 20:16:06 UTC",87
31621377,1901772,"eneim/Toro","Java","2016-01-31 15:45:41 UTC",449
25689,78780,"testmycode/tmc-server","Ruby","2011-07-04 12:29:36 UTC",14
15604647,723954,"tankery/circularseekbar","Java","2015-06-13 04:01:54 UTC",20
11448671,462132,"ifrost/afterwriting-labs","Java","2014-08-17 22:01:24 UTC",22
4182742,937090,"mrice/license-check","Java","2013-05-21 03:56:06 UTC",11
4144993,131801,"mdeverdelhan/OCA-Java-SE-7-Programmer-I","Java","2013-06-17 19:26:07 UTC",34
3052442,2595,"themgt/ws42-chat","Ruby","2013-03-11 09:37:24 UTC",95
12274095,4438683,"googlesamples/android-BluetoothChat","Java","2014-10-04 01:13:56 UTC",282
217803,76487,"notahat/tango","Ruby","2011-01-16 22:12:20 UTC",18
12632193,843164,"dpreussler/android-autolayout","Java","2014-10-15 07:31:01 UTC",24
14595685,6431440,"hardworker93/carousels","Java","2014-12-05 08:25:45 UTC",12
25407652,4168,"igorkasyanchuk/any_login","Ruby","2015-09-07 20:24:56 UTC",126
9971357,296519,"simplelogica/nocms-news","Ruby","2014-05-26 11:28:44 UTC",12
12544913,2781423,"henrychuangtw/FB-ChatHead","Java","2014-10-09 03:17:46 UTC",57
926,4020,"movitto/rjr","Ruby","2009-12-19 19:07:28 UTC",63
6115156,938906,"gauntlt/gauntlt-demo","Ruby","2013-10-27 03:29:06 UTC",14
23515487,1231503,"TechFreak/RxTalk","Java","2015-08-04 12:28:05 UTC",11
19230847,3792746,"florent37/MaterialViewPager","Java","2015-04-24 17:53:15 UTC",5118
2462703,314631,"tunitowen/DevDrawer","Java","2013-02-03 09:31:25 UTC",141
210061,362085,"TheGiftsProject/omniauth-ebay","Ruby","2012-03-29 08:36:13 UTC",12
9368272,504385,"eventick/pagseguro-transparente","Ruby","2014-04-17 13:54:48 UTC",19
966053,6952,"videlalvaro/cloudfoundry-octopress","Ruby","2012-09-26 13:31:30 UTC",10
155564,218017,"hayesgm/mountain_goat","Ruby","2011-07-07 04:17:20 UTC",40
4346486,2208384,"easemob/sdkexamples-android","Java","2013-07-04 06:26:35 UTC",253
